customer_id,first_name,last_name,date_of_birth,signup_date,city,occupation,monthly_income,credit_score,email,age
CUST100037,Raj,Khumalo,1956-08-06,2022-03-17,Johannesburg,Manager,23410.21,739.0,raj.khumalo907@yahoo.com,70.0
CUST100038,William,Nkosi,1998-12-15,2021-01-20,Polokwane,Entrepreneur,62472.21,834.0,william.nkosi594@outlook.com,27.7
CUST100039,Kagiso,Jones,1991-07-17,2021-03-18,Pretoria,Entrepreneur,25727.87,639.0,kagiso.jones944@webmail.co.za,35.1
CUST100040,Jennifer,Davis,1959-09-08,2015-05-03,Kimberley,Civil Servant,12169.63,659.0,jennifer.davis265@gmail.com,66.9
CUST100041,Wei,Brown,1954-03-13,2020-10-13,Nelspruit,Sales Rep,16716.31,554.0,wei.brown859@webmail.co.za,72.4
CUST100042,Amara,Rodriguez,1964-04-16,2022-03-23,Cape Town,Driver,75082.71,585.0,amara.rodriguez566@outlook.com,62.3
CUST100043,Barbara,Khumalo,1969-04-10,2022-08-18,Kimberley,Technician,67473.92,553.0,barbara.khumalo371@gmail.com,57.3
CUST100044,Robert,Silva,1959-12-29,2018-05-11,Kimberley,Retired,38465.86,662.0,robert.silva673@outlook.com,66.6
CUST100045,Sofia,Rodriguez,2005-12-06,2020-06-16,Polokwane,Artisan,10535.55,619.0,sofia.rodriguez170@outlook.com,20.7
CUST100046,Joseph,Khan,1959-01-04,2022-05-15,Durban,Unknown,32340.74,684.0,joseph.khan541@webmail.co.za,67.6
CUST100047,Ahmed,Mokoena,1995-09-01,2019-12-17,East London,Sales Rep,33867.74,650.0,ahmed.mokoena958@yahoo.com,31.0
CUST100048,Lerato,Miller,1954-09-15,2026-02-21,Nelspruit,Unknown,27318.63,635.0,lerato.miller744@gmail.com,71.9
CUST100049,Wei,Pretorius,2004-10-16,2023-04-03,Nelspruit,Civil Servant,19110.5,564.0,wei.pretorius671@gmail.com,21.8
CUST100050,Wei,Martinez,1958-10-04,2015-06-01,Port Elizabeth,Student,21642.65,667.0,wei.martinez5@yahoo.com,67.9
CUST100051,Michael,Brown,1970-09-21,2015-09-04,Polokwane,Sales Rep,18327.74,503.0,michael.brown372@outlook.com,55.9
CUST100052,Barbara,Nkosi,1979-01-27,2022-12-29,Pretoria,Entrepreneur,13533.94,664.0,barbara.nkosi890@outlook.com,47.5
CUST100053,Joseph,Pretorius,1952-05-03,2019-12-10,Durban,Unknown,61058.81,625.0,joseph.pretorius623@gmail.com,74.3
CUST100054,Jessica,Johnson,1994-10-28,2024-09-20,East London,Retired,45678.74,666.0,jessica.johnson670@yahoo.com,31.8
CUST100055,Mary,Botha,1961-10-03,2017-01-01,Port Elizabeth,Civil Servant,22675.55,501.0,mary.botha529@webmail.co.za,64.9
CUST100056,Naledi,Pretorius,1978-07-04,2015-02-28,Durban,Accountant,33233.28,709.0,naledi.pretorius882@yahoo.com,48.1
CUST100057,John,Van Der Merwe,1978-07-12,2019-06-30,East London,Sales Rep,33989.96,623.0,john.van der merwe963@webmail.co.za,48.1
CUST100058,Chidi,Garcia,1981-10-05,2023-11-07,Pretoria,Accountant,109724.74,670.0,chidi.garcia687@outlook.com,44.9
CUST100059,Lerato,Mokoena,1948-05-21,2026-03-04,Bloemfontein,Manager,45412.43,482.0,lerato.mokoena813@yahoo.com,78.2
CUST100060,Fatima,Dlamini,1955-04-15,2025-03-26,Pretoria,Retired,44394.1,538.0,fatima.dlamini204@gmail.com,71.3
CUST100061,Chidi,Mokoena,1954-11-01,2020-09-08,Nelspruit,Student,27523.31,615.0,chidi.mokoena364@webmail.co.za,71.8
CUST100062,Barbara,Mokoena,1963-06-05,2024-05-31,Nelspruit,Engineer,20730.17,774.0,barbara.mokoena797@gmail.com,63.2
CUST100063,Carlos,Chen,1953-11-03,2015-10-25,Port Elizabeth,Retired,61674.52,697.0,carlos.chen462@outlook.com,72.8
CUST100064,Susan,Dlamini,2001-03-27,2021-08-17,Polokwane,Nurse,39789.7,662.0,susan.dlamini821@outlook.com,25.4
CUST100065,David,Patel,1976-04-16,2025-09-14,Cape Town,Nurse,16354.77,567.0,,50.3
CUST100066,Ahmed,Dlamini,1983-01-14,2019-04-08,Kimberley,Consultant,35324.07,550.0,ahmed.dlamini680@webmail.co.za,43.6
CUST100067,Barbara,Smith,1966-10-22,2026-02-13,Durban,Accountant,44463.84,675.0,barbara.smith477@outlook.com,59.8
CUST100068,Robert,Smith,1961-11-07,2017-07-22,Nelspruit,Unknown,7650.31,713.0,,64.8
CUST100069,Jessica,Nkosi,1975-09-11,2016-03-22,Nelspruit,Nurse,15468.61,669.0,jessica.nkosi648@yahoo.com,50.9
CUST100070,Mei,Pretorius,1962-12-15,2021-01-28,Cape Town,Nurse,33445.04,804.0,mei.pretorius635@outlook.com,63.7
CUST100071,Michael,Khumalo,1965-12-18,2025-04-07,Johannesburg,Retired,8478.79,589.0,michael.khumalo810@gmail.com,60.7
CUST100072,Joseph,Brown,1972-08-13,2018-09-08,Polokwane,Driver,9323.76,666.0,joseph.brown866@webmail.co.za,54.0
CUST100073,John,Silva,1975-11-07,2024-07-04,Nelspruit,Student,22873.24,498.0,john.silva584@gmail.com,50.8
CUST100074,Lerato,Brown,2005-01-15,2016-12-16,Polokwane,Student,36131.72,669.0,lerato.brown445@yahoo.com,21.6
CUST100075,Jessica,Rodriguez,1958-08-16,2023-08-20,Johannesburg,Nurse,37148.19,650.0,jessica.rodriguez88@outlook.com,68.0
CUST100076,David,Davis,1974-10-07,2021-06-14,East London,Consultant,69524.86,556.0,david.davis129@webmail.co.za,51.9
CUST100077,Linda,Smith,1954-02-13,2017-10-01,Pretoria,Consultant,28264.4,726.0,linda.smith744@webmail.co.za,72.5
CUST100078,Sipho,Silva,1966-05-08,2023-04-26,,Teacher,21512.91,780.0,sipho.silva839@gmail.com,60.3
CUST100079,Lerato,Dlamini,1988-10-02,2023-08-04,Nelspruit,Retired,12278.24,588.0,lerato.dlamini17@outlook.com,37.9
CUST100080,Carlos,Miller,1955-08-23,2020-12-20,Polokwane,Entrepreneur,21358.89,692.0,carlos.miller183@yahoo.com,71.0
CUST100081,Susan,Dlamini,1980-06-17,2017-11-08,Port Elizabeth,Unknown,41131.01,792.0,susan.dlamini689@webmail.co.za,46.2
CUST100082,Jennifer,Smith,1970-06-02,2016-07-13,Pretoria,Teacher,42261.56,671.0,jennifer.smith201@gmail.com,56.2
CUST100083,Raj,Martinez,1948-02-24,2026-01-02,Nelspruit,Nurse,31532.42,721.0,raj.martinez835@webmail.co.za,78.5
CUST100084,Kagiso,Dlamini,2001-11-30,2022-06-08,Cape Town,Unknown,37356.75,490.0,kagiso.dlamini921@webmail.co.za,24.7
CUST100085,Amara,Davis,1970-03-25,2024-05-16,Cape Town,Driver,57862.81,704.0,amara.davis663@yahoo.com,56.4
CUST100086,Patricia,Van Der Merwe,1992-10-26,2023-01-27,Johannesburg,Artisan,28146.07,697.0,patricia.van der merwe30@webmail.co.za,33.8
CUST100087,Elizabeth,Garcia,1970-05-25,2024-09-08,Bloemfontein,Unknown,61107.59,531.0,elizabeth.garcia729@yahoo.com,56.2
CUST100088,Wei,Brown,2002-03-06,2016-11-18,Johannesburg,Accountant,17396.28,563.0,wei.brown859@webmail.co.za,24.4
CUST100089,Raj,Dlamini,1962-09-20,2020-03-10,Bloemfontein,Artisan,25745.76,704.0,raj.dlamini506@webmail.co.za,63.9
CUST100090,Susan,Botha,1970-02-23,2022-09-22,Cape Town,Accountant,20160.89,623.0,susan.botha227@outlook.com,56.5
CUST100091,Mei,Rodriguez,1991-04-16,2016-03-13,Nelspruit,Nurse,43287.67,750.0,mei.rodriguez60@gmail.com,35.3
CUST100092,Raj,Johnson,1965-12-18,2016-09-26,Port Elizabeth,Technician,14637.02,678.0,raj.johnson783@gmail.com,60.7
CUST100093,Richard,Nkosi,1967-03-24,2022-05-05,Johannesburg,Nurse,22179.88,655.0,richard.nkosi509@gmail.com,59.4
CUST100094,Ahmed,Martinez,2005-09-06,2025-01-22,East London,Nurse,8814.86,635.0,ahmed.martinez680@gmail.com,20.9
CUST100095,Elizabeth,Brown,1978-11-22,2022-08-25,Pretoria,Retired,38431.23,676.0,elizabeth.brown265@webmail.co.za,47.7
CUST100096,Linda,Mokoena,1987-01-19,2015-03-06,Durban,Technician,56844.47,722.0,linda.mokoena378@gmail.com,39.6
CUST100097,Lerato,Davis,1984-04-01,2026-03-28,East London,Consultant,46463.61,698.0,lerato.davis63@gmail.com,42.4
CUST100098,Kagiso,Pretorius,1995-07-03,2016-08-13,,Nurse,43808.21,612.0,kagiso.pretorius192@yahoo.com,31.1
CUST100099,John,Miller,1997-07-27,2017-10-09,Kimberley,Nurse,44517.62,762.0,john.miller120@webmail.co.za,29.1
CUST100100,Raj,Khumalo,1979-05-11,2026-04-17,Port Elizabeth,Manager,40938.09,709.0,raj.khumalo884@webmail.co.za,47.3
CUST100101,Michael,Dlamini,1962-12-20,2023-06-12,Nelspruit,Manager,38895.64,685.0,michael.dlamini307@yahoo.com,63.7
CUST100102,Mei,Garcia,1946-05-23,2025-05-11,,Sales Rep,40430.84,658.0,mei.garcia768@outlook.com,80.2
CUST100103,James,Ndlovu,1982-06-24,2024-05-05,Nelspruit,Unknown,18152.99,695.0,james.ndlovu551@gmail.com,44.1
CUST100104,Mei,Williams,1995-05-09,2022-07-19,Kimberley,Civil Servant,23858.22,485.0,mei.williams866@webmail.co.za,31.3
CUST100105,Mei,Chen,1972-06-25,2018-04-18,Bloemfontein,Manager,28061.28,672.0,mei.chen30@yahoo.com,54.1
CUST100106,Wei,Khan,1955-01-18,2018-10-14,Bloemfontein,Entrepreneur,21995.14,798.0,wei.khan532@outlook.com,71.6
CUST100107,Lerato,Pretorius,1962-07-29,2025-12-20,Bloemfontein,Sales Rep,10511.38,670.0,lerato.pretorius851@gmail.com,64.0
CUST100108,Jessica,Davis,1976-02-10,2024-12-19,Johannesburg,Unknown,12822.99,658.0,jessica.davis722@outlook.com,50.5
CUST100109,Amara,Miller,1996-01-14,2019-01-03,Nelspruit,Teacher,30883.76,596.0,amara.miller798@webmail.co.za,30.6
CUST100110,William,Khumalo,1955-06-24,2019-04-28,Polokwane,Student,46326.32,694.0,william.khumalo795@webmail.co.za,71.1
CUST100111,Wei,Patel,1982-05-05,2018-06-13,Nelspruit,Engineer,27054.41,650.0,wei.patel606@webmail.co.za,44.3
CUST100112,Naledi,Nkosi,1990-12-15,2018-11-10,Cape Town,Unknown,141256.62115000002,768.0,naledi.nkosi954@yahoo.com,35.7
CUST100113,Joseph,Smith,2002-02-05,2024-12-19,Nelspruit,Civil Servant,15492.98,572.0,joseph.smith776@gmail.com,24.5
CUST100114,Thabo,Garcia,1952-02-14,2015-02-14,Pretoria,Manager,35135.43,609.0,thabo.garcia418@outlook.com,74.5
CUST100115,Sipho,Garcia,2001-07-05,2020-01-19,Nelspruit,Civil Servant,58379.59,596.0,sipho.garcia243@outlook.com,25.1
CUST100116,Mary,Garcia,1981-09-09,2025-02-12,Kimberley,Student,50991.09,815.0,mary.garcia502@gmail.com,44.9
CUST100117,John,Ndlovu,1991-10-08,2021-04-14,Nelspruit,Engineer,39856.47,633.0,john.ndlovu107@gmail.com,34.9
CUST100118,Linda,Botha,1948-04-13,2020-03-20,Kimberley,Accountant,51131.31,601.0,linda.botha465@yahoo.com,78.3
CUST100119,Patricia,Smith,1975-11-16,2018-08-14,Cape Town,Artisan,27812.38,462.0,patricia.smith893@outlook.com,50.7
CUST100120,Joseph,Silva,1982-12-24,2015-09-11,Pretoria,Student,72964.55,568.0,joseph.silva143@webmail.co.za,43.6
CUST100121,Lerato,Mokoena,1963-09-19,2017-07-08,Durban,Teacher,58098.52,698.0,lerato.mokoena765@webmail.co.za,62.9
CUST100122,Kagiso,Mokoena,1971-05-01,2016-01-18,Bloemfontein,Student,16133.67,697.0,kagiso.mokoena10@gmail.com,55.3
CUST100123,Jessica,Chen,1978-10-24,2016-06-19,Kimberley,Entrepreneur,32628.48,591.0,jessica.chen583@outlook.com,47.8
CUST100124,Priya,Williams,1978-09-15,2016-11-22,East London,Teacher,10631.98,596.0,priya.williams51@gmail.com,47.9
CUST100125,Sipho,Khan,1947-07-22,2018-01-07,Bloemfontein,Civil Servant,67041.92,817.0,sipho.khan189@yahoo.com,79.1
CUST100126,Robert,Garcia,1971-10-23,2015-02-16,Nelspruit,Technician,30777.49,650.0,robert.garcia889@outlook.com,54.8
CUST100127,Wei,Dlamini,1958-01-16,2026-02-01,Cape Town,Artisan,60431.38,753.0,wei.dlamini306@webmail.co.za,68.6
CUST100128,Sipho,Chen,2000-12-01,2016-07-06,East London,Engineer,25194.61,650.0,sipho.chen11@webmail.co.za,25.7
CUST100129,Kagiso,Mokoena,2004-07-27,2019-09-06,Bloemfontein,Artisan,8832.91,809.0,kagiso.mokoena627@outlook.com,22.1
CUST100130,Sipho,Davis,1963-04-12,2025-09-03,Durban,Sales Rep,130930.32,849.0,sipho.davis821@gmail.com,63.3
CUST100131,Naledi,Rodriguez,1955-09-08,2016-03-26,East London,Manager,29104.65,623.0,naledi.rodriguez413@gmail.com,70.9
CUST100132,Robert,Ndlovu,1958-05-23,2020-07-08,Nelspruit,Retired,14762.93,571.0,robert.ndlovu10@gmail.com,68.2
CUST100133,Naledi,Smith,1974-02-21,2024-10-13,Nelspruit,Accountant,53501.09,815.0,naledi.smith932@yahoo.com,52.5
CUST100134,Mei,Patel,1998-05-06,2021-06-13,Nelspruit,Unknown,91264.24,563.0,mei.patel739@webmail.co.za,28.3
CUST100135,Elizabeth,Williams,1975-07-03,2017-08-06,Nelspruit,Technician,23826.1,557.0,elizabeth.williams866@webmail.co.za,51.1
CUST100136,Zanele,Ndlovu,1948-05-19,2023-09-07,Port Elizabeth,Retired,25347.99,559.0,zanele.ndlovu974@yahoo.com,78.2
CUST100137,James,Chen,1947-06-08,2022-11-22,Johannesburg,Nurse,31033.66,638.0,james.chen786@outlook.com,79.2
CUST100138,Barbara,Johnson,1958-11-15,2019-03-13,Kimberley,Unknown,13813.72,471.0,barbara.johnson543@yahoo.com,67.7
CUST100139,Susan,Nkosi,1996-05-29,2015-07-15,Port Elizabeth,Student,17775.91,650.0,susan.nkosi159@gmail.com,30.2
CUST100140,Sofia,Rodriguez,1982-11-28,2015-03-02,East London,Unknown,78366.79,594.0,sofia.rodriguez499@yahoo.com,43.7
CUST100141,Michael,Smith,1979-05-05,2024-07-23,Johannesburg,Unknown,24851.57,542.0,michael.smith209@outlook.com,47.3
CUST100142,William,Chen,1964-06-16,2018-09-22,Nelspruit,Teacher,16276.31,746.0,william.chen163@yahoo.com,62.2
CUST100143,Susan,Khumalo,2001-09-10,2016-05-08,Nelspruit,Nurse,20512.19,651.0,susan.khumalo428@outlook.com,24.9
CUST100144,Sofia,Chen,1965-03-15,2021-02-01,Kimberley,Technician,51210.21,702.0,sofia.chen105@outlook.com,61.4
CUST100145,Priya,Khan,1995-12-06,2025-08-31,Cape Town,Consultant,27289.63,692.0,,30.7
CUST100146,Mary,Ndlovu,1999-08-25,2015-05-02,Nelspruit,Retired,31344.37,631.0,mary.ndlovu777@outlook.com,27.0
CUST100147,Linda,Van Der Merwe,1974-06-26,2015-08-26,East London,Retired,117869.25,739.0,linda.van der merwe435@webmail.co.za,52.1
CUST100148,Raj,Rodriguez,1999-07-20,2019-10-31,Cape Town,Retired,91002.07,691.0,raj.rodriguez365@outlook.com,27.1
CUST100149,Mary,Dlamini,1961-11-19,2022-10-30,Bloemfontein,Consultant,37946.09,621.0,mary.dlamini226@webmail.co.za,64.7
CUST100150,Priya,Brown,1985-03-01,2020-06-07,Port Elizabeth,Unknown,59270.42,498.0,priya.brown211@yahoo.com,41.5
CUST100151,Elizabeth,Mokoena,1950-05-14,2025-05-24,East London,Technician,58929.42,697.0,elizabeth.mokoena962@gmail.com,76.3
CUST100152,Fatima,Garcia,1973-11-28,2015-06-07,Johannesburg,Entrepreneur,24946.5,536.0,fatima.garcia885@outlook.com,52.7
CUST100153,Elizabeth,Patel,1958-04-04,2018-09-12,Bloemfontein,Entrepreneur,46857.96,684.0,elizabeth.patel366@yahoo.com,68.4
CUST100154,Susan,Silva,1948-10-30,2019-01-26,East London,Entrepreneur,78680.44,657.0,susan.silva6@outlook.com,77.8
CUST100155,Lerato,Van Der Merwe,1945-03-25,2018-09-12,,Engineer,12603.66,528.0,lerato.van der merwe665@outlook.com,81.4
CUST100156,John,Pretorius,1964-10-23,2020-08-24,Polokwane,Sales Rep,38024.67,673.0,john.pretorius292@yahoo.com,61.8
CUST100157,Naledi,Williams,1980-12-17,2024-02-27,East London,Artisan,33419.18,667.0,naledi.williams686@yahoo.com,45.7
CUST100158,Thabo,Brown,1972-10-08,2018-06-09,Polokwane,Accountant,28621.08,668.0,thabo.brown319@gmail.com,53.9
CUST100159,Mei,Pretorius,1963-05-30,2023-08-16,Johannesburg,Sales Rep,27140.44,663.0,mei.pretorius987@yahoo.com,63.2
CUST100160,Sofia,Rodriguez,2005-06-17,2016-11-09,Polokwane,Teacher,30915.16,650.0,sofia.rodriguez769@webmail.co.za,21.2
CUST100161,Lerato,Smith,2002-04-23,2021-06-29,Pretoria,Nurse,32511.31,703.0,lerato.smith599@yahoo.com,24.3
CUST100162,Susan,Miller,1952-08-31,2019-06-05,Bloemfontein,Engineer,52636.72,588.0,susan.miller315@yahoo.com,74.0
CUST100163,Susan,Van Der Merwe,1970-04-28,2021-03-30,Bloemfontein,Unknown,35807.36,553.0,susan.van der merwe136@webmail.co.za,56.3
CUST100164,Susan,Davis,1984-07-30,2016-03-31,Kimberley,Entrepreneur,24179.83,711.0,susan.davis91@yahoo.com,42.0
CUST100165,Raj,Johnson,1989-09-28,2026-01-16,Pretoria,Sales Rep,16253.23,734.0,raj.johnson632@gmail.com,36.9
CUST100166,David,Patel,1967-05-08,2025-06-30,Pretoria,Engineer,20262.65,705.0,david.patel45@gmail.com,59.3
CUST100167,Jennifer,Jones,1990-07-10,2024-07-27,,Manager,31467.16,631.0,jennifer.jones755@outlook.com,36.1
CUST100168,David,Davis,1952-07-28,2025-04-05,East London,Sales Rep,17612.38,650.0,david.davis1@yahoo.com,74.0
CUST100169,James,Smith,1965-03-29,2016-12-09,Pretoria,Nurse,47454.48,783.0,james.smith57@gmail.com,61.4
CUST100170,Patricia,Mokoena,1988-09-13,2020-10-31,Pretoria,Artisan,34822.99,474.0,patricia.mokoena941@yahoo.com,37.9
CUST100171,Robert,Martinez,1983-03-02,2018-06-09,Nelspruit,Unknown,53429.4,703.0,robert.martinez794@webmail.co.za,43.5
CUST100172,Wei,Botha,1996-01-26,2025-11-04,Nelspruit,Entrepreneur,18337.59,840.0,wei.botha449@outlook.com,30.6
CUST100173,Chidi,Davis,1947-11-10,2017-12-03,,Entrepreneur,16339.8,663.0,chidi.davis249@yahoo.com,78.8
CUST100174,Amara,Jones,1955-08-22,2017-07-19,Pretoria,Entrepreneur,53190.46,676.0,amara.jones378@webmail.co.za,71.0
CUST100175,Joseph,Brown,1947-12-17,2022-12-14,Polokwane,Teacher,29084.84,684.0,joseph.brown211@webmail.co.za,78.7
CUST100176,Amara,Jones,1956-09-20,2016-12-01,Cape Town,Consultant,23824.98,668.0,amara.jones841@outlook.com,69.9
CUST100177,Jennifer,Martinez,1945-04-06,2023-06-25,Cape Town,Consultant,40912.72,650.0,jennifer.martinez893@webmail.co.za,81.4
CUST100178,Ahmed,Johnson,1975-10-04,2018-08-02,Cape Town,Unknown,40009.39,574.0,ahmed.johnson797@webmail.co.za,50.9
CUST100179,Thabo,Rodriguez,1977-03-24,2022-08-27,,Nurse,12664.29,563.0,thabo.rodriguez952@gmail.com,49.4
CUST100180,Carlos,Van Der Merwe,1985-02-17,2025-09-02,Port Elizabeth,Consultant,61746.16,621.0,carlos.van der merwe199@yahoo.com,41.5
CUST100181,John,Khan,1968-06-24,2022-01-22,Pretoria,Student,21031.06,807.0,john.khan620@outlook.com,58.1
CUST100182,Jessica,Chen,1945-03-13,2017-06-18,Cape Town,Accountant,74608.58,598.0,jessica.chen95@gmail.com,81.4
CUST100183,Amara,Botha,1986-02-08,2015-07-27,East London,Technician,12086.82,689.0,amara.botha859@yahoo.com,40.5
CUST100184,Jessica,Silva,1948-04-24,2015-08-07,Nelspruit,Teacher,32546.96,746.0,jessica.silva17@webmail.co.za,78.3
CUST100185,Joseph,Chen,1997-11-01,2016-11-01,Durban,Teacher,27289.63,720.0,joseph.chen876@outlook.com,28.8
CUST100186,Jennifer,Van Der Merwe,1946-05-20,2021-09-18,East London,Consultant,8224.39,742.0,jennifer.van der merwe853@gmail.com,80.2
CUST100187,Richard,Williams,1977-05-11,2019-12-01,Polokwane,Consultant,39931.66,778.0,richard.williams135@outlook.com,49.3
CUST100188,Linda,Van Der Merwe,1999-08-03,2017-10-25,Bloemfontein,Retired,8481.46,678.0,linda.van der merwe692@gmail.com,27.0
CUST100189,Elizabeth,Miller,1979-12-03,2017-07-16,Bloemfontein,Civil Servant,22584.07,609.0,elizabeth.miller387@outlook.com,46.7
CUST100190,Lerato,Khan,1982-02-10,2025-12-26,Cape Town,Nurse,52185.78,663.0,lerato.khan927@outlook.com,44.5
CUST100191,Kagiso,Pretorius,1986-07-30,2016-05-17,Kimberley,Manager,19574.41,619.0,kagiso.pretorius460@outlook.com,40.0
CUST100192,Zanele,Ndlovu,1952-06-20,2018-07-13,Kimberley,Entrepreneur,15642.7,650.0,zanele.ndlovu45@outlook.com,74.2
CUST100193,Barbara,Johnson,1986-03-03,2020-06-17,Polokwane,Engineer,43486.85,602.0,barbara.johnson222@outlook.com,40.5
CUST100194,Carlos,Rodriguez,1998-09-13,2015-02-01,Kimberley,Entrepreneur,23162.48,693.0,carlos.rodriguez17@outlook.com,27.9
CUST100195,Robert,Rodriguez,2004-06-04,2025-08-31,East London,Unknown,21098.65,515.0,robert.rodriguez526@webmail.co.za,22.2
CUST100196,David,Pretorius,1972-01-10,2016-02-24,East London,Teacher,57814.53,662.0,david.pretorius676@yahoo.com,54.6
CUST100197,Patricia,Pretorius,1966-01-06,2022-11-26,Nelspruit,Nurse,13354.82,624.0,patricia.pretorius949@gmail.com,60.6
CUST100198,David,Khumalo,1990-12-13,2022-04-14,Johannesburg,Unknown,20419.3,711.0,david.khumalo655@gmail.com,35.7
CUST100199,Carlos,Pretorius,1978-02-11,2024-05-15,Durban,Technician,45245.94,713.0,carlos.pretorius38@webmail.co.za,48.5
CUST100200,Barbara,Martinez,1960-09-11,2022-07-18,Durban,Unknown,12846.56,778.0,barbara.martinez677@gmail.com,65.9
