customer_id,first_name,last_name,date_of_birth,signup_date,city,occupation,monthly_income,credit_score,email
CUST100057,John,Van der Merwe,1978-07-12,2019-06-30,East London,Sales Rep,33989.96,623.0,john.van der merwe963@webmail.co.za
CUST100058,Chidi,Garcia,1981-10-05,2023-11-07,Pretoria,Accountant,109724.74,670.0,chidi.garcia687@outlook.com
CUST100059,Lerato,Mokoena,1948-05-21,2026-03-04,Bloemfontein,Manager,45412.43,482.0,lerato.mokoena813@yahoo.com
CUST100060,Fatima,Dlamini,1955-04-15,2025-03-26,Pretoria,Retired,44394.1,538.0,fatima.dlamini204@gmail.com
CUST100061,Chidi,Mokoena,1954-11-01,2020-09-08,Nelspruit,Student,27523.31,615.0,chidi.mokoena364@webmail.co.za
CUST100062,Barbara,Mokoena,1963-06-05,2024-05-31,Nelspruit,Engineer,20730.17,774.0,barbara.mokoena797@gmail.com
CUST100063,Carlos,Chen,1953-11-03,2015-10-25,Port Elizabeth,Retired,61674.52,697.0,carlos.chen462@outlook.com
CUST100064,Susan,Dlamini,2001-03-27,2021-08-17,Polokwane,Nurse,39789.7,662.0,susan.dlamini821@outlook.com
CUST100065,David,Patel,1976-04-16,2025-09-14,Cape Town  ,Nurse,16354.77,567.0,
CUST100066,Ahmed,Dlamini,1983-01-14,2019-04-08,Kimberley,Consultant,35324.07,550.0,ahmed.dlamini680@webmail.co.za
CUST100067,Barbara,Smith,1966-10-22,2026-02-13,durban,Accountant,44463.84,675.0,barbara.smith477@outlook.com
CUST100068,ROBERT,Smith,1961-11-07,2017-07-22,Nelspruit,,7650.31,713.0,
CUST100069,Jessica,Nkosi,1975-09-11,2016-03-22,Nelspruit,Nurse,15468.61,669.0,jessica.nkosi648@yahoo.com
CUST100070,Mei,Pretorius,1962-12-15,2021-01-28,Cape Town,Nurse,33445.04,804.0,mei.pretorius635@outlook.com
CUST100071,MICHAEL,Khumalo,1965-12-18,2025-04-07,Johannesburg,Retired,8478.79,589.0,michael.khumalo810@gmail.com
CUST100072,JOSEPH,Brown,1972-08-13,2018-09-08,polokwane,Driver,9323.76,666.0,joseph.brown866@webmail.co.za
CUST100073,John,Silva,1975-11-07,2024-07-04,nelspruit,Student,22873.24,498.0,john.silva584@gmail.com
CUST100074,Lerato,Brown,2005-01-15,2016-12-16,Polokwane  ,Student,36131.72,669.0,lerato.brown445@yahoo.com
CUST100075,Jessica,Rodriguez,1958-08-16,2023-08-20,Johannesburg,Nurse,37148.19,,jessica.rodriguez88@outlook.com
CUST100076,David,Davis,1974-10-07,2021-06-14,East London,Consultant,69524.86,556.0,david.davis129@webmail.co.za
CUST100077,Linda,Smith,1954-02-13,2017-10-01,Pretoria,Consultant,28264.4,726.0,linda.smith744@webmail.co.za
CUST100078,Sipho,Silva,1966-05-08,2023-04-26,,Teacher,21512.91,780.0,sipho.silva839@gmail.com
CUST100079,Lerato,Dlamini,1988-10-02,2023-08-04,Nelspruit,Retired,12278.24,588.0,lerato.dlamini17@outlook.com
CUST100080,Carlos,Miller,1955-08-23,2020-12-20,Polokwane,Entrepreneur,21358.89,692.0,carlos.miller183@yahoo.com
CUST100081,Susan,Dlamini,1980-06-17,2017-11-08,Port Elizabeth,,41131.01,792.0,susan.dlamini689@webmail.co.za
CUST100082,Jennifer,Smith,1970-06-02,2016-07-13,Pretoria,Teacher,42261.56,671.0,jennifer.smith201@gmail.com
CUST100083,Raj,Martinez,1948-02-24,2026-01-02,Nelspruit,Nurse,31532.42,721.0,raj.martinez835@webmail.co.za
CUST100084,Kagiso,Dlamini,2001-11-30,2022-06-08,Cape Town,,37356.75,490.0,kagiso.dlamini921@webmail.co.za
CUST100085,Amara,Davis,1970-03-25,2024-05-16,Cape Town,Driver,57862.81,704.0,amara.davis663@yahoo.com
CUST100086,Patricia,Van der Merwe,1992-10-26,2023-01-27,Johannesburg,Artisan,28146.07,697.0,patricia.van der merwe30@webmail.co.za
CUST100087,ELIZABETH,Garcia,1970-05-25,2024-09-08,Bloemfontein,,61107.59,531.0,elizabeth.garcia729@yahoo.com
CUST100088,Wei,Brown,2002-03-06,2016-11-18,Johannesburg,Accountant,17396.28,563.0,wei.brown859@webmail.co.za
CUST100089,Raj,Dlamini,1962-09-20,2020-03-10,Bloemfontein,Artisan,25745.76,704.0,raj.dlamini506@webmail.co.za
CUST100090,Susan,Botha,1970-02-23,2022-09-22,Cape Town,Accountant,20160.89,623.0,susan.botha227@outlook.com
CUST100091,MEI,Rodriguez,1991-04-16,2016-03-13,Nelspruit,Nurse,43287.67,750.0,mei.rodriguez60@gmail.com
CUST100092,Raj,Johnson,1965-12-18,2016-09-26,Port Elizabeth,Technician,14637.02,678.0,raj.johnson783@gmail.com
CUST100093,RICHARD,Nkosi,1967-03-24,2022-05-05,Johannesburg,Nurse,22179.88,655.0,richard.nkosi509@gmail.com
CUST100094,Ahmed,Martinez,2005-09-06,2025-01-22,East London,Nurse,8814.86,635.0,ahmed.martinez680@gmail.com
CUST100095,Elizabeth,Brown,1978-11-22,2022-08-25,Pretoria  ,Retired,38431.23,676.0,elizabeth.brown265@webmail.co.za
CUST100096,Linda,Mokoena,1987-01-19,2015-03-06,Durban,Technician,56844.47,722.0,linda.mokoena378@gmail.com
CUST100097,Lerato,Davis,1984-04-01,2026-03-28,East London,Consultant,46463.61,698.0,lerato.davis63@gmail.com
CUST100098,KAGISO,Pretorius,1995-07-03,2016-08-13,,Nurse,43808.21,612.0,kagiso.pretorius192@yahoo.com
CUST100099,John,Miller,1997-07-27,2017-10-09,Kimberley,Nurse,44517.62,762.0,john.miller120@webmail.co.za
CUST100100,RAJ,Khumalo,1979-05-11,2026-04-17,Port Elizabeth  ,Manager,40938.09,709.0,raj.khumalo884@webmail.co.za
CUST100101,Michael,Dlamini,1962-12-20,2023-06-12,Nelspruit,Manager,38895.64,685.0,michael.dlamini307@yahoo.com
CUST100102,Mei,Garcia,1946-05-23,2025-05-11,,Sales Rep,40430.84,658.0,mei.garcia768@outlook.com
CUST100103,James,Ndlovu,1982-06-24,2024-05-05,Nelspruit,,18152.99,695.0,james.ndlovu551@gmail.com
CUST100104,Mei,Williams,1995-05-09,2022-07-19,Kimberley,Civil Servant,23858.22,485.0,mei.williams866@webmail.co.za
CUST100105,Mei,Chen,1972-06-25,2018-04-18,Bloemfontein,Manager,28061.28,672.0,mei.chen30@yahoo.com
CUST100106,WEI,Khan,1955-01-18,2018-10-14,Bloemfontein,Entrepreneur,21995.14,798.0,wei.khan532@outlook.com
CUST100107,Lerato,Pretorius,1962-07-29,2025-12-20,Bloemfontein,Sales Rep,10511.38,670.0,lerato.pretorius851@gmail.com
CUST100108,Jessica,Davis,1976-02-10,2024-12-19,Johannesburg,,12822.99,658.0,jessica.davis722@outlook.com
CUST100109,Amara,Miller,1996-01-14,2019-01-03,Nelspruit,Teacher,30883.76,596.0,amara.miller798@webmail.co.za
CUST100110,WILLIAM,Khumalo,1955-06-24,2019-04-28,Polokwane,Student,46326.32,694.0,william.khumalo795@webmail.co.za
CUST100111,Wei,Patel,1982-05-05,2018-06-13,Nelspruit  ,Engineer,27054.41,,wei.patel606@webmail.co.za
CUST100112,NALEDI,Nkosi,1990-12-15,2018-11-10,Cape Town,,141335.69,768.0,naledi.nkosi954@yahoo.com
CUST100113,JOSEPH,Smith,2002-02-05,2024-12-19,Nelspruit,Civil Servant,15492.98,572.0,joseph.smith776@gmail.com
CUST100114,Thabo,Garcia,1952-02-14,2015-02-14,Pretoria,Manager,35135.43,609.0,thabo.garcia418@outlook.com
CUST100115,Sipho,Garcia,2001-07-05,2020-01-19,Nelspruit,Civil Servant,58379.59,596.0,sipho.garcia243@outlook.com
CUST100116,MARY,Garcia,1981-09-09,2025-02-12,Kimberley  ,Student,50991.09,815.0,mary.garcia502@gmail.com
CUST100117,John,Ndlovu,1991-10-08,2021-04-14,Nelspruit,Engineer,39856.47,633.0,john.ndlovu107@gmail.com
CUST100118,Linda,Botha,1948-04-13,2020-03-20,Kimberley,Accountant,51131.31,601.0,linda.botha465@yahoo.com
CUST100119,Patricia,Smith,1975-11-16,2018-08-14,Cape Town,Artisan,27812.38,462.0,patricia.smith893@outlook.com
CUST100120,Joseph,Silva,1982-12-24,2015-09-11,Pretoria,Student,72964.55,568.0,joseph.silva143@webmail.co.za
CUST100121,Lerato,Mokoena,1963-09-19,2017-07-08,durban,Teacher,58098.52,698.0,lerato.mokoena765@webmail.co.za
CUST100122,KAGISO,Mokoena,1971-05-01,2016-01-18,Bloemfontein,Student,16133.67,697.0,kagiso.mokoena10@gmail.com
CUST100123,Jessica,Chen,1978-10-24,2016-06-19,Kimberley  ,Entrepreneur,32628.48,591.0,jessica.chen583@outlook.com
CUST100124,Priya,Williams,1978-09-15,2016-11-22,East London,Teacher,10631.98,596.0,priya.williams51@gmail.com
CUST100125,Sipho,Khan,1947-07-22,2018-01-07,Bloemfontein,Civil Servant,67041.92,817.0,sipho.khan189@yahoo.com
CUST100126,Robert,Garcia,1971-10-23,2015-02-16,Nelspruit,Technician,30777.49,893.0,robert.garcia889@outlook.com
CUST100127,Wei,Dlamini,1958-01-16,2026-02-01,Cape Town,Artisan,60431.38,753.0,wei.dlamini306@webmail.co.za
CUST100128,Sipho,Chen,2000-12-01,2016-07-06,East London  ,Engineer,25194.61,,sipho.chen11@webmail.co.za
CUST100129,Kagiso,Mokoena,2004-07-27,2019-09-06,Bloemfontein,Artisan,8832.91,809.0,kagiso.mokoena627@outlook.com
CUST100130,Sipho,Davis,1963-04-12,2025-09-03,Durban,Sales Rep,130930.32,849.0,sipho.davis821@gmail.com
CUST100131,Naledi,Rodriguez,1955-09-08,2016-03-26,East London,Manager,29104.65,623.0,naledi.rodriguez413@gmail.com
CUST100132,Robert,Ndlovu,1958-05-23,2020-07-08,Nelspruit,Retired,14762.93,571.0,robert.ndlovu10@gmail.com
CUST100133,Naledi,Smith,1974-02-21,2024-10-13,Nelspruit,Accountant,53501.09,815.0,naledi.smith932@yahoo.com
CUST100134,Mei,Patel,1998-05-06,2021-06-13,Nelspruit,,91264.24,563.0,mei.patel739@webmail.co.za
CUST100135,ELIZABETH,Williams,1975-07-03,2017-08-06,Nelspruit,Technician,23826.1,557.0,elizabeth.williams866@webmail.co.za
CUST100136,ZANELE,Ndlovu,1948-05-19,2023-09-07,Port Elizabeth,Retired,25347.99,559.0,zanele.ndlovu974@yahoo.com
CUST100137,James,Chen,1947-06-08,2022-11-22,johannesburg,Nurse,31033.66,638.0,james.chen786@outlook.com
CUST100138,Barbara,Johnson,1958-11-15,2019-03-13,Kimberley  ,,13813.72,471.0,barbara.johnson543@yahoo.com
CUST100139,Susan,Nkosi,1996-05-29,2015-07-15,Port Elizabeth,Student,17775.91,,susan.nkosi159@gmail.com
CUST100140,Sofia,Rodriguez,1982-11-28,2015-03-02,East London,,78366.79,594.0,sofia.rodriguez499@yahoo.com
CUST100141,Michael,Smith,1979-05-05,2024-07-23,johannesburg,,24851.57,542.0,michael.smith209@outlook.com
CUST100142,William,Chen,1964-06-16,2018-09-22,Nelspruit,Teacher,16276.31,746.0,william.chen163@yahoo.com
CUST100143,SUSAN,Khumalo,2001-09-10,2016-05-08,Nelspruit,Nurse,20512.19,651.0,susan.khumalo428@outlook.com
CUST100144,Sofia,Chen,1965-03-15,2021-02-01,kimberley,Technician,51210.21,702.0,sofia.chen105@outlook.com
CUST100145,Priya,Khan,1995-12-06,2025-08-31,Cape Town,Consultant,,692.0,
CUST100146,Mary,Ndlovu,1999-08-25,2015-05-02,Nelspruit,Retired,31344.37,631.0,mary.ndlovu777@outlook.com
CUST100147,Linda,Van der Merwe,1974-06-26,2015-08-26,East London,Retired,117869.25,739.0,linda.van der merwe435@webmail.co.za
CUST100148,Raj,Rodriguez,1999-07-20,2019-10-31,Cape Town,Retired,91002.07,691.0,raj.rodriguez365@outlook.com
CUST100149,Mary,Dlamini,1961-11-19,2022-10-30,Bloemfontein,Consultant,37946.09,621.0,mary.dlamini226@webmail.co.za
CUST100150,Priya,Brown,1985-03-01,2020-06-07,Port Elizabeth  ,,59270.42,498.0,priya.brown211@yahoo.com
CUST100151,Elizabeth,Mokoena,1950-05-14,2025-05-24,east london,Technician,58929.42,697.0,elizabeth.mokoena962@gmail.com
CUST100152,Fatima,Garcia,1973-11-28,2015-06-07,Johannesburg,Entrepreneur,24946.5,536.0,fatima.garcia885@outlook.com
CUST100153,ELIZABETH,Patel,1958-04-04,2018-09-12,Bloemfontein,Entrepreneur,46857.96,684.0,elizabeth.patel366@yahoo.com
CUST100154,Susan,Silva,1948-10-30,2019-01-26,east london,Entrepreneur,78680.44,657.0,susan.silva6@outlook.com
CUST100155,LERATO,Van der Merwe,1945-03-25,2018-09-12,,Engineer,12603.66,528.0,lerato.van der merwe665@outlook.com
CUST100156,John,Pretorius,1964-10-23,2020-08-24,Polokwane,Sales Rep,38024.67,673.0,john.pretorius292@yahoo.com
CUST100157,Naledi,Williams,1980-12-17,2024-02-27,East London,Artisan,33419.18,667.0,naledi.williams686@yahoo.com
CUST100158,Thabo,Brown,1972-10-08,2018-06-09,Polokwane,Accountant,28621.08,668.0,thabo.brown319@gmail.com
CUST100159,Mei,Pretorius,1963-05-30,2023-08-16,Johannesburg  ,Sales Rep,27140.44,663.0,mei.pretorius987@yahoo.com
CUST100160,Sofia,Rodriguez,2005-06-17,2016-11-09,Polokwane  ,Teacher,30915.16,,sofia.rodriguez769@webmail.co.za
CUST100161,Lerato,Smith,2002-04-23,2021-06-29,Pretoria,Nurse,32511.31,703.0,lerato.smith599@yahoo.com
CUST100162,SUSAN,Miller,1952-08-31,2019-06-05,Bloemfontein,Engineer,52636.72,588.0,susan.miller315@yahoo.com
CUST100163,Susan,Van der Merwe,1970-04-28,2021-03-30,Bloemfontein  ,,35807.36,553.0,susan.van der merwe136@webmail.co.za
CUST100164,Susan,Davis,1984-07-30,2016-03-31,Kimberley,Entrepreneur,24179.83,711.0,susan.davis91@yahoo.com
CUST100165,Raj,Johnson,1989-09-28,2026-01-16,Pretoria,Sales Rep,16253.23,734.0,raj.johnson632@gmail.com
CUST100166,David,Patel,1967-05-08,2025-06-30,Pretoria,Engineer,20262.65,705.0,david.patel45@gmail.com
CUST100167,Jennifer,Jones,1990-07-10,2024-07-27,,Manager,31467.16,631.0,jennifer.jones755@outlook.com
CUST100168,David,Davis,1952-07-28,2025-04-05,East London  ,Sales Rep,17612.38,,david.davis1@yahoo.com
CUST100169,James,Smith,1965-03-29,2016-12-09,Pretoria,Nurse,47454.48,783.0,james.smith57@gmail.com
CUST100170,Patricia,Mokoena,1988-09-13,2020-10-31,Pretoria,Artisan,34822.99,474.0,patricia.mokoena941@yahoo.com
CUST100171,Robert,Martinez,1983-03-02,2018-06-09,Nelspruit,,53429.4,703.0,robert.martinez794@webmail.co.za
CUST100172,Wei,Botha,1996-01-26,2025-11-04,Nelspruit,Entrepreneur,18337.59,840.0,wei.botha449@outlook.com
CUST100173,Chidi,Davis,1947-11-10,2017-12-03,,Entrepreneur,16339.8,663.0,chidi.davis249@yahoo.com
CUST100174,Amara,Jones,1955-08-22,2017-07-19,Pretoria,Entrepreneur,53190.46,676.0,amara.jones378@webmail.co.za
CUST100175,Joseph,Brown,1947-12-17,2022-12-14,Polokwane,Teacher,29084.84,684.0,joseph.brown211@webmail.co.za
CUST100176,Amara,Jones,1956-09-20,2016-12-01,Cape Town,Consultant,23824.98,668.0,amara.jones841@outlook.com
CUST100177,Jennifer,Martinez,1945-04-06,2023-06-25,Cape Town,Consultant,40912.72,862.0,jennifer.martinez893@webmail.co.za
CUST100178,Ahmed,Johnson,1975-10-04,2018-08-02,Cape Town,,40009.39,574.0,ahmed.johnson797@webmail.co.za
CUST100179,Thabo,Rodriguez,1977-03-24,2022-08-27,,Nurse,12664.29,563.0,thabo.rodriguez952@gmail.com
CUST100180,CARLOS,Van der Merwe,1985-02-17,2025-09-02,Port Elizabeth,Consultant,61746.16,621.0,carlos.van der merwe199@yahoo.com
CUST100181,John,Khan,1968-06-24,2022-01-22,Pretoria,Student,21031.06,807.0,john.khan620@outlook.com
CUST100182,JESSICA,Chen,1945-03-13,2017-06-18,Cape Town,Accountant,74608.58,598.0,jessica.chen95@gmail.com
CUST100183,Amara,Botha,1986-02-08,2015-07-27,East London,Technician,12086.82,689.0,amara.botha859@yahoo.com
CUST100184,JESSICA,Silva,1948-04-24,2015-08-07,nelspruit,Teacher,32546.96,746.0,jessica.silva17@webmail.co.za
CUST100185,Joseph,Chen,1997-11-01,2016-11-01,Durban  ,Teacher,,720.0,joseph.chen876@outlook.com
CUST100186,JENNIFER,Van der Merwe,1946-05-20,2021-09-18,East London,Consultant,8224.39,742.0,jennifer.van der merwe853@gmail.com
CUST100187,RICHARD,Williams,1977-05-11,2019-12-01,Polokwane,Consultant,39931.66,778.0,richard.williams135@outlook.com
CUST100188,Linda,Van der Merwe,1999-08-03,2017-10-25,Bloemfontein,Retired,8481.46,678.0,linda.van der merwe692@gmail.com
CUST100189,Elizabeth,Miller,1979-12-03,2017-07-16,bloemfontein  ,Civil Servant,22584.07,609.0,elizabeth.miller387@outlook.com
CUST100190,Lerato,Khan,1982-02-10,2025-12-26,cape town  ,Nurse,52185.78,663.0,lerato.khan927@outlook.com
CUST100191,KAGISO,Pretorius,1986-07-30,2016-05-17,Kimberley,Manager,19574.41,619.0,kagiso.pretorius460@outlook.com
CUST100192,Zanele,Ndlovu,1952-06-20,2018-07-13,Kimberley,Entrepreneur,15642.7,877.0,zanele.ndlovu45@outlook.com
CUST100193,Barbara,Johnson,1986-03-03,2020-06-17,Polokwane,Engineer,43486.85,602.0,barbara.johnson222@outlook.com
CUST100194,Carlos,Rodriguez,1998-09-13,2015-02-01,Kimberley,Entrepreneur,23162.48,693.0,carlos.rodriguez17@outlook.com
CUST100195,Robert,Rodriguez,2004-06-04,2025-08-31,East London,,21098.65,515.0,robert.rodriguez526@webmail.co.za
CUST100196,DAVID,Pretorius,1972-01-10,2016-02-24,East London,Teacher,57814.53,662.0,david.pretorius676@yahoo.com
CUST100197,Patricia,Pretorius,1966-01-06,2022-11-26,Nelspruit,Nurse,13354.82,624.0,patricia.pretorius949@gmail.com
CUST100198,David,Khumalo,1990-12-13,2022-04-14,Johannesburg,,20419.3,711.0,david.khumalo655@gmail.com
CUST100199,Carlos,Pretorius,1978-02-11,2024-05-15,Durban,Technician,45245.94,713.0,carlos.pretorius38@webmail.co.za
CUST100200,BARBARA,Martinez,1960-09-11,2022-07-18,Durban,,12846.56,778.0,barbara.martinez677@gmail.com
CUST100201,Fatima,Martinez,1955-07-03,2023-11-29,East London  ,Consultant,78058.07,770.0,fatima.martinez726@outlook.com
CUST100202,Jessica,Van der Merwe,1955-05-21,2019-11-17,durban,Artisan,23621.0,644.0,jessica.van der merwe695@gmail.com
CUST100203,Amara,Chen,1973-01-04,2020-08-29,Pretoria,Accountant,45465.83,565.0,amara.chen85@gmail.com
CUST100204,Joseph,Dlamini,1955-05-19,2023-02-16,Port Elizabeth,Driver,45408.8,576.0,joseph.dlamini618@gmail.com
CUST100205,William,Ndlovu,1946-03-16,2021-01-08,Polokwane,Nurse,24553.93,677.0,william.ndlovu371@gmail.com
CUST100206,Wei,Patel,1948-03-06,2020-03-12,Bloemfontein,Nurse,20182.94,664.0,wei.patel440@gmail.com
CUST100207,Sofia,Khan,2001-09-20,2017-05-19,johannesburg,Teacher,26218.52,673.0,sofia.khan428@webmail.co.za
CUST100208,William,Ndlovu,1949-06-14,2017-12-27,East London,,41258.42,602.0,william.ndlovu959@yahoo.com
CUST100209,Wei,Smith,1949-06-19,2019-02-25,Port Elizabeth,Teacher,14885.53,779.0,wei.smith321@outlook.com
CUST100210,William,Williams,1972-07-10,2015-09-02,Cape Town,Technician,13069.61,517.0,william.williams952@yahoo.com
CUST100211,Amara,Brown,1959-12-14,2019-01-11,East London,Technician,65546.93,597.0,amara.brown345@webmail.co.za
CUST100212,Mei,Ndlovu,2003-09-21,2015-12-01,Durban,Engineer,17310.82,553.0,mei.ndlovu751@webmail.co.za
CUST100213,Joseph,Mokoena,2000-07-26,2021-07-18,Port Elizabeth,Entrepreneur,6654260.000000001,631.0,joseph.mokoena639@gmail.com
